"Countries","total_cases","total_deaths"
"India",1363250,509438
"Haiti",795794,9411
"Peru",736195,5285
"Democratic Republic of the Congo",521607,22457
"Indonesia",394945,30600
"Mozambique",327913,7696
"Somalia",311203,10859
"Nigeria",310217,21479
"Bangladesh",294647,137429
"Afghanistan",263843,2641
"United Republic of Tanzania",228048,12725
"Angola",191036,9920
"South Africa",186463,904
"Brazil",173220,1774
"Ghana",167934,5849
"Zimbabwe",153428,7137
"Malawi",142935,3464
"Ethiopia",118297,1521
"Kenya",118214,3873
"Uganda",108877,4408
