"Countries","total_death_cases"
"India",509438
"Bangladesh",137429
"Indonesia",30600
"Democratic Republic of the Congo",22457
"Nigeria",21479
"United Republic of Tanzania",12725
"Somalia",10859
"Myanmar",10394
"Angola",9920
"Haiti",9411
"Philippines",7851
"Mozambique",7696
"Zimbabwe",7137
"Chad",6170
"Ghana",5849
"Peru",5285
"Zambia",4877
"Mali",4635
"Cameroon",4431
"Uganda",4408
"Niger",4220
"Kenya",3873
"Malawi",3464
"Thailand",2969
"Afghanistan",2641
"Madagascar",2634
"Senegal",2486
"Sierra Leone",2475
"Guinea",2469
"Sudan",2098
"Guinea-Bissau",2089
"Nepal",1934
"Brazil",1774
"Pakistan",1772
"Viet Nam",1592
"Ethiopia",1521
"Burkina Faso",1424
"Lao People's Democratic Republic",1114
"Benin",1108
"Cote d'Ivoire",1069
"Ecuador",1069
"Cambodia",1054
"South Africa",904
"Bolivia (Plurinational State of)",854
"Liberia",848
"Burundi",782
"Guatemala",771
"Togo",769
"Nicaragua",743
"China",727
"Algeria",650
"Mauritania",649
"Papua New Guinea",606
"Sri Lanka",598
"Malaysia",597
"Yemen",572
"Mexico",526
"Congo",525
"Colombia",523
"Comoros",519
"Dominican Republic",499
"Iran (Islamic Republic of)",488
"Rwanda",394
"Djibouti",342
"Honduras",329
"South Sudan",296
"Cabo Verde",284
"Maldives",220
"Eswatini",214
"Republic of Korea",207
"Venezuela (Bolivarian Republic of)",163
"Central African Republic",141
"Syrian Arab Republic",138
"El Salvador",137
"Morocco",137
"Sao Tome and Principe",120
"Iraq",106
"Argentina",82
"Panama",82
"Equatorial Guinea",66
"Saudi Arabia",66
"Portugal",60
"Namibia",59
"Turkiye",52
"Italy",41
"Libya",30
"Ukraine",30
"Singapore",28
"Albania",25
"Bhutan",25
"Romania",25
"Lebanon",24
"Kiribati",21
"Micronesia (Federated States of)",21
"Russian Federation",18
"Tunisia",16
"Gambia",14
"Mongolia",12
"Belize",10
"Guyana",10
"Israel",10
"Eritrea",9
"Oman",8
"Turkmenistan",8
"Tuvalu",8
"Bahrain",6
"Brunei Darussalam",6
"Marshall Islands",6
"Chile",5
"Japan",5
"Jordan",5
"Republic of Moldova",5
"Tajikistan",5
"Botswana",3
"Cuba",3
"Gabon",2
"Tonga",2
"Canada",1
"Costa Rica",1
"Czechia",1
"France",1
"Germany",1
"Kuwait",1
"Netherlands (Kingdom of the)",1
"New Zealand",1
"Seychelles",1
"Suriname",1
"The former state union Serbia and Montenegro",1
"United Kingdom of Great Britain and Northern Ireland",1
"United States of America",1
"Andorra",0
"Armenia",0
"Australia",0
"Austria",0
"Azerbaijan",0
"Bahamas",0
"Belarus",0
"Belgium",0
"Democratic People's Republic of Korea",0
"Denmark",0
"Estonia",0
"Finland",0
"Georgia",0
"Greece",0
"Hungary",0
"Ireland",0
"Kazakhstan",0
"Kyrgyzstan",0
"Lesotho",0
"Mauritius",0
"Nauru",0
"Norway",0
"Paraguay",0
"Poland",0
"Qatar",0
"Samoa",0
"Slovenia",0
"Spain",0
"Sweden",0
"Switzerland",0
"United Arab Emirates",0
"Uzbekistan",0
