"Countries","avg_fatality_rate"
"Italy",53.327
"Bangladesh",27.3029545454545
"Oman",22.2225
"Myanmar",17.5328888888889
"Cambodia",16.7
"Burkina Faso",15.6931818181818
"India",15.14859375
"Mali",14.1829166666667
"Djibouti",12.722
"Czechia",12.5
"Zambia",11.5678571428571
"Cameroon",10.5329545454545
"Lao People's Democratic Republic",10.4933333333333
"Niger",10.238
"Chad",10.0361111111111
"Viet Nam",9.95723404255319
"Indonesia",9.09846153846154
"Central African Republic",8.34142857142857
"The former state union Serbia and Montenegro",8.3325
"Suriname",8.33
